671,ZUK,105,Z1,联想ZUK Z1（Z1221/全网通）,/cell_phone/index402557.shtml,5,1
1192,中国移动,83,A1,中国移动A1（M623C/移动4G）,/cell_phone/index402645.shtml,8,1
1192,中国移动,83,A1,中国移动A1s（双4G）,/cell_phone/index1144525.shtml,6,2
1193,中国移动,2,M601,中国移动M601,/cell_phone/index359281.shtml,2,1
1194,中国移动,20,M811,中国移动M811,/cell_phone/index379912.shtml,2,1
1195,中国移动,39,M812C,,,2,0
1196,中国移动,53,N1,中国移动N1（M821/移动4G）,/cell_phone/index402647.shtml,7,1
1196,中国移动,53,N1,中国移动N1 max（M823/移动4G）,/cell_phone/index402804.shtml,8,2
1197,中国移动,10,N1 max,中国移动N1 max（M823/移动4G）,/cell_phone/index402804.shtml,8,1
58,E人E本,1,T9,,,5,0
910,斐讯,2,C630Lw,,,3,0
911,斐讯,4,C730Lw,,,3,0
399,青橙,2,N1-Y,青橙N1-Y,/cell_phone/index373240.shtml,3,1
400,青橙,3,N2,青橙N2（全网通）,/cell_phone/index1099120.shtml,3,1
993,一加,129,One,,,6,0
994,一加,38,Two,,,6,0
995,一加,19,X,一加手机X（标准版/双4G）,/cell_phone/index1101503.shtml,6,1
995,一加,19,X,一加手机X（全网通）,/cell_phone/index1102922.shtml,3,2
995,一加,19,X,一加手机X（陶瓷版/双4G）,/cell_phone/index1102913.shtml,6,3
995,一加,19,X,一加手机X（基础版/双4G）,/cell_phone/index1102921.shtml,6,4
917,朵唯,3,D330,朵唯小时代D330,/cell_phone/index382220.shtml,3,1
918,朵唯,2,D350,,,3,0
919,朵唯,2,D800,朵唯D800,/cell_phone/index366506.shtml,2,1
920,朵唯,4,iSuper S1,朵唯iSuper S1,/cell_phone/index366510.shtml,3,1
921,朵唯,2,iSuper S2,朵唯iSuper S2（标准版）,/cell_phone/index366511.shtml,4,1
921,朵唯,2,iSuper S2,朵唯iSuper S2（S2X/女王版）,/cell_phone/index366538.shtml,5,2
921,朵唯,2,iSuper S2,朵唯iSuper S2（萝莉版）,/cell_phone/index366540.shtml,4,3
922,朵唯,3,L1,朵唯倾城L1（移动4G）,/cell_phone/index391143.shtml,6,1
922,朵唯,3,L1,朵唯倾城L1 mini（移动4G）,/cell_phone/index391175.shtml,7,2
923,朵唯,5,L1 mini,朵唯倾城L1 mini（移动4G）,/cell_phone/index391175.shtml,7,1
924,朵唯,2,L5 mini,朵唯L5 mini（移动4G）,/cell_phone/index1103031.shtml,6,1
925,朵唯,2,L5 Plus,朵唯L5 Plus（双4G）,/cell_phone/index516064.shtml,6,1
926,朵唯,2,L5Pro,朵唯L5 Pro（双4G）,/cell_phone/index1101966.shtml,6,1
927,朵唯,2,S2L,朵唯S2L,/cell_phone/index383682.shtml,3,1
928,朵唯,7,S2y,,,3,0
929,朵唯,3,S3,朵唯iSuper S3（移动4G）,/cell_phone/index388369.shtml,6,1
930,朵唯,1,T20,朵唯T20（移动4G）,/cell_phone/index392013.shtml,5,1
931,朵唯,2,T20L,,,3,0
932,朵唯,1,T21,朵唯T21 （移动4G）,/cell_phone/index404707.shtml,6,1
933,朵唯,3,T35,朵唯T35,/cell_phone/index385867.shtml,2,1
934,朵唯,2,T60,朵唯T60,/cell_phone/index383683.shtml,2,1
935,朵唯,1,T90,朵唯T90,/cell_phone/index382226.shtml,2,1
936,朵唯,7,倾城L3,朵唯倾城L3C（移动4G）,/cell_phone/index400111.shtml,7,1
936,朵唯,7,倾城L3,朵唯倾城L3（双4G）,/cell_phone/index400110.shtml,6,2
